replicate_id,total_reads
C8166-311cas9_RepA_p6_batch3,24497047
DETROIT562-311Cas9_RepA_p3_batch3,39088923
Detroi_c907R1,22571300
CAL120-311Cas9-RepA-p6_batch3,31458348
Daoy-311Cas9_RepA_p6_batch3,45307700
SNU-1079-311Cas9_RepA_p6_batch3,49704720
A375-311cas9-RepA-p6_batch3,45481131
A375_C902R1_P1D14,53366067
HuPT4_c904R1,38570131
JHH-6-311Cas9_RepA_p6_batch3,49178173
LN382-311CAS9_RepA_p6_batch3,32317842
ASPC-1-311Cas9 Rep A p6_batch3,43913241
AsPC1_c904R1,39175485
SNU-398-31Cas9_RepA_p5_batch3,44487871
HCC1937-311Cas9_RepA_p5_batch3,15789230
HCC193_c903R1,81703949
SUP-M2-311Cas9 Rep A p4_batch3,43884804
BICR31-311Cas9_RepA_p6_batch3,30143490
KALS1 -311Cas9_RepA_p6_batch3,41170888
KP-N-YN-311Cas9 Rep A p3_batch2,58288623
KPNYN_c906R1,34280772
DEL-311cas9_RepA_p6_batch3,29361332
U251MG-311Cas9_RepA_p6_batch2,39648541
U251_c907R1,41400677
CAKI-2-311Cas9_RepA_p6_batch3,35434244
JHOM-1-311cas9 Rep A p6_batch2,50171911
P0403_c904R1,33995975
Panc.04.03-311Cas9 Rep A p5_batch3,39772631
DAN-G-311Cas9 Rep A p6_batch3,65104186
DANG_c904R1,43032308
SCC4-311cas9_RepA_p6_batch3,36150830
SCC4_c907R1,35691276
DKMG-311Cas9_RepA_p5_batch3,20367888
DKMG_c907R1,38257132
SLR23-311Cas9_RepA_p6_batch3,41883476
AU565-311Cas9_RepA_p6_batch2,37463561
AU565_c903R1,27388726
CL-11-311Cas9_RepB_p6_batch3,42917976
CL11_c903R1,60871900
OCUM-1-311Cas9_RepA_p4_batch3,42280818
KMRC20-311Cas9_RepA_p6_batch3,48632223
NCI-H2887-311cas9_RepB_p5_batch2,22092835
COLO201-311Cas9_RepA_p6_batch3,25199342
Cov318-311cas9_RepA_p4_batch2,30273225
LMSU-311Cas9_RepA_p6_batch3,42780138
LS1034_c903R1,56791833
CORL279-311cas9_RepA_p4_batch3,49996296
DU4475 -311Cas9_RepA_p6_batch3,49796128
KELLY-311Cas9 Rep A p6_batch3,49537381
SK-N-AS-311Cas9 Rep A p6_batch3,102768775
SKNAS_c906R1,33727530
RERF-LC-AI-311cas9_RepA_p6_batch3,30649070
UOK101-311Cas9_RepA_p6_batch3,36976062
Calu-6-311Cas9_RepA_p6_batch3,27016612
KASUMI-1-311cas9_RepA_p6_batch3,49461335
KP4-311Cas9 Rep A p7_batch3,41382602
KP4_c904R1,33025431
AM38_c907R1,41290029
SNU-213-311Cas9 Rep A p5_batch3,45728784
SU10_c907R1,40436805
Hs852.T-311Cas9_RepA_p5_batch3,62358474
SF539-311cas9_RepA_p6_batch3,36734455
SF539_c907R1,55517728
SLR24-311Cas9_RepA_p4_batch3,33805155
COV362-311Cas9 Rep A p4_batch2,94796396
HCC1419-311Cas9_RepA_p6_batch3,24362021
HCC38-311Cas9_RepA_p6_batch3,31496867
HCC38_c903R1,35467068
EW502-311Cas9_RepA_p6_batch3,40744611
H1755_c906R1,32409009
KP-2-311Cas9 Rep A p5_batch3,50775367
SNU-840 311Cas9_RepA_p6_batch2,42787753
BT549-311cas9 Rep A p5_batch2,49011782
NCI-H209-311Cas9_RepA_p6_batch3,48745599
SNU-1033-311Cas9_RepA_p3_batch3,38270549
KLE-311Cas9_RepA_p6_batch3,41110500
KLE_c908R1,49573222
NCI-H841-311as9_RepA_p6_batch3,28619777
OV90-311Cas9_RepA_p6_batch3,33264214
OV90_c905R1,37239197
EM-2-311Cas9_RepA_p6_batch3,51622639
NB-4-311cas9 Rep A p6_batch3,45852423
OUMS-23-311Cas9 Rep A p5_batch3,85328973
ECGI10-311cas9_RepA_p6_batch3,64927654
ECGI10_c907R1,18676821
SNU-5-311Cas9_RepA_p6_batch4,27643391
SNU1077-311Cas9_RepA_p6_batch3,49986206
Wm-115-311Cas9_RepA_p6_batch3,54948077
EFO-21 311Cas9_RepA_p5_batch2,51652430
EFO21_c905R1,32692291
PK-1_KLM-1-311Cas9_RepA_p6_batch3,51048995
IMR32-311cas9 Rep A p3_batch3,54094796
NCI-H2122-311cas9 Rep A p5_batch3,52775291
SK-N-BE_2_-311Cas9 Rep A p6_batch3,49755567
KARPAS-422-311cas9_RepA_p6_batch3,45965933
KMRC3-311Cas9-RepA-p6_batch4,26628709
SNU-886-311Cas9_RepA_p6_batch3,38906692
TUHR14TKB-311Cas9_RepA_p6_batch3,46985278
MPP 89-311Cas9_RepA_p5_batch3,46536573
PSN-1-311Cas9 Rep A p6_batch3,47692533
PSN1_c904R1,39826204
TE10-311Cas9_RepA_p6_batch3,46100380
TE10_c908R1,32404141
42-MG-BA-311Cas9_RepA_p6_batch3,43260709
42MGBA_c907R1,50270298
HT144-311Cas9_RepA_p6_batch3,30997872
