replicate_id,total_reads
MDAMB2_c903R2,23550608
NCI-H1648-311Cas9 Rep A p4_batch3,57008510
NCI-H526-311cas9_RepA_p6_batch3,70094106
BICR56-311cas9_RepA_p6_batch3,19238497
LK-2-311Cas9 Rep A p6_batch3,83641531
LK2_c906R1,39393894
P31FUJ-311Cas9 Rep B p6_batch3,93719475
Ki-JK-311cas9 Rep A p4_batch3,44066055
NCI-H727-311Cas9_RepA_p6_batch3,36445572
RERF-LC-Ad2-311cas9_RepA_p6_batch3,35077775
HSC3-311Cas9_RepA_p4_batch2,38867782
HSC3_c908R1,27680904
KYSE-30-311Cas9_RepB_p6_batch3,44681943
ONS-76-311Cas9_RepA_p6_batch3,39427713
Cama1-311Cas9_RepA_p4_batch2,56295457
H2023_c906R1,28024075
NCI-H2023-311Cas9 Rep A p6_batch3,52731054
SEM-311cas9_RepA_p6_batch3,51373296
KYSE70-311Cas9_RepA_p5_batch2,53464615
KYSE70_c907R1,31378371
NCI-H2126-311Cas9 Rep B p5_batch3,30979302
A2058-311cas9_RepA_p6_batch3,49920893
A2058_c903R1,52783257
LXF-289-311cas9 Rep B p6_batch3,92631469
LXF289_c906R1,38734257
BFTC909-311Cas9_RepA_p6_batch3,50715110
KATOII_c908R1,45135336
KatO III Rep A P6_batch3,30139018
RERF-LC-Ad1-311Cas9 Rep A p5_batch3,61572795
SHP77-311cas9_RepA_p5_batch3,22575900
BICR22-311Cas9_RepA_p6_batch3,45172949
BICR22_c908R1,30258420
Hs695T-311Cas9_RepA_p4_batch3,21353765
MCAS-311Cas9_RepA_p5_batch3,29310021
MCAS_c905R1,63413062
NCI-H446-311cas9_RepA_p6_batch3,57249382
BFTC-905-311Cas9_RepA_p6_batch3,46414058
COLO-679-311Cas9_RepA_p5_batch3,39015596
Hs936.T-311cas9_RepA_p6_batch3,46085972
NB-1-311Cas9 Rep A p6_batch3,112701726
KYSE-410-311Cas9_RepA_p6_batch3,46780891
KYSE41_C908R1,27089961
SNU738-311cas9_RepA_p6_batch3,45017334
Hs939.T-311Cas9_RepA_p6_batch3,41135277
R8226_c907R1,35682504
RPMI8226-311Cas9_RepA_p6_batch3,27769668
SK-OV-3-311cas9 Rep A p5_batch2,36220333
SKMEL30-311Cas9_RepA_p6_batch3,44181456
EJM -311Cas9_RepA_p4_batch3,30006323
LN18-311Cas9_RepA_p6_batch3,51767581
SW403-311Cas9_RepB_p5_batch2,44317662
KYSE-140-311Cas9_RepA_p6_batch3,29463374
KYSE14_c907R1,35585252
SKMEL-24-311Cas9_RepA_p6_batch3,43898996
CAL12T-311cas9_RepA_p6_batch3,35101512
KYSE-510-311cas9_RepA_p5_batch3,39754644
KYSE51_c907R1,30282097
WM793-311Cas9_RepA_p6_batch2,60496433
CAL27-311cas9_RepA_p6_batch3,41563184
CAL27_c907R1,21254797
HEC-50B_RepA_p6_batch3,38394730
HUNS1-311Cas9_RepA_p6_batch3,40528132
GCT-311Cas9_RepA_p6_batch3,29009624
RH-30-311Cas9_RepA_p6_batch3,39242221
UM-UC-1-311Cas9_RepA_p6_batch3,52433471
YD-15-311cas9_RepA_p6_batch3,47801072
AMO1-311Cas9_RepA_p6_batch3,48776245
HCC366-311cas9_RepA_p5_batch3,33179498
NCI-H322-311Cas9 Rep A p6_batch3,36194493
SCaBER-311Cas9_RepA_p6_batch3,40119242
H2087_c906R1,28983142
HARA-311cas9_RepA_p6_batch3,73267158
HARA_c906R1,37736276
NCI-H2087-311Cas9 Rep A p4_batch3,45224068
FADU-311Cas9_RepA_p6_batch3,21902975
FADU_c908R1,26772591
NCIH1373-311cas9-RepA-p6_batch4,32369419
HGC27-311Cas9_RepA_p6_batch3,54219218
HGC27_c908R1,45161884
JHH7-311Cas9_RepA_p6_batch3,33577463
MB468_c903R1,37646710
MDAMB468-311cas9_RepB_p6_batch2,16550002
MOR/CPR-311cas9 Rep A p4_batch3,77876414
NCI-H661-311Cas9_RepA_p6_batch3,61950064
CAL51_c903R1,27740750
Cal-51-311cas9 Rep A p6_batch3,98057748
KYSE-150-311Cas9_RepA_p6_batch3,22255168
KYSE15_c907R1,29822083
OCIMY5-311Cas9_RepB_p5_batch3,40530487
KNS62-311Cas9_RepA_p6_batch3,34884970
KNS62_c906R4,30829495
H358_c906R1,39261429
HCC1954-311Cas9_RepB_p6_batch2,53478302
HCC195_c903R1,32795528
NCIH358-311cas9-RepA-p6_batch4,32402215
HOP-62-311CAS9 Rep A p6_batch3,44434611
HOP62_c906R1,45596424
KMBC-2-311Cas9_RepA_p5_batch3,39093159
CO684_C908R2,49522090
DBTRG0_c907R1,31460950
KYSE450-311Cas9_RepA_p6_batch3,14812433
KYSE45_c908R1,24763073
CHAGOK1-311Cas9_RepA_p4_batch3,46429959
H1568_c906R1,77498964
NCI-H1048-311cas9_RepA_p6_batch3,45733637
NCI-H1568-311Cas9_RepA_p4_batch3,58820272
HCC515-311Cas9 Rep A p6_batch2,36559009
KYSE270-311Cas9_RepA_p6_batch3,25077027
KYSE27_c908R1,31887214
HCC15-311Cas9_RepA_p5_batch3,52872435
HCC15_c906R1,33737940
MB415_c903R1,32264278
MDAMB415-311cas9 Rep A p4_batch2,32566358
AGS-311Cas9_RepA_p6_batch3,51252866
AGS_c908R1,48092943
MFE296_c908R1,26026544
IGR1-311Cas9_RepA_p6_batch3,43057239
MDAMB435S-311Cas9_RepA_p6_batch3,58579737
MelJuso-311Cas9_RepA_p6_batch2,44192828
TOV-21G-311Cas9 Rep A p6_batch3,90571281
TOV21G_c905R1,30369902
NCI-H2009-311CAS9-RepA-p6_batch4,29682947
SF172-311Cas9_RepA_p6_batch3,41638118
H1869_c906R1,32836447
KMM-1-311Cas9_RepA_p6_batch3,37148442
NCIH1793-2Acas9-RepA-p6_batch3,67873092
SW1271-311cas9_RepA_p6_batch3,26664981
647-V-311Cas9_RepA_p6_batch3,43023492
H23_c906R1,30328603
NCI-H23-311Cas9 Rep A p5_batch3,40655168
SNU719-311cas9_RepA_p4_batch3,28927249
WM88-311Cas9_RepA_p6_batch3,43163875
5637-311Cas9_RepA_p6_batch3,37853509
FTC133-311cas9-RepA-p6_batch3,52178211
HCC-1359-311Cas9 Rep A p5_batch3,57080336
ES-2-311Cas9 Rep A p7_batch3,50288226
ES2_c905R1,37499682
SNU349-311Cas9_RepA_p6_batch2,27385769
MB453_c903R1,22478453
MDAMB453-311Cas9_RepA_p5_batch2,26597807
NUGC3-311Cas9_RepA_p6_batch3,39704895
NUGC3_c907R1,41350872
ESS1-311Cas9_RepA_p6_batch3,49746691
ESS1_C908R2,45972121
HT-311cas9_RepA_p4_batch3,34178601
NCI-H2286-311caa9_RepA_p6_batch3,42543514
IPC298-311Cas9_RepA_p6_batch3,28318855
NCIH1573-311Cas9_RepA_p6_batch3,37167146
TE-4-311Cas9_RepA_p6_batch3,47692248
TE4_c907R1,30157895
IM95_c908R3,21396404
NCIH1339-311Cas9_RepA_p6_batch3,33482637
RCHACV-311Cas9_RepB_p6_batch4,43193496
HT55-311Cas9_RepA_p4_batch2,57953353
HT55_C902R1_P1D14,50366177
JHUEM1-311Cas9_RepA_p6_batch3,42736212
NCI-H2172-311Cas9_RepA_p6_batch3,47541556
NCI-H2110-311Cas9_RepA_p6_batch3,41511896
SNU-1-311Cas9_RepA_p6_batch3,32307754
SNU1_c908R1,49361772
EFO-27-311Cas9_RepA_p6_batch2,43942478
EFO27_c905R1,38226084
MB361_c904R1,38924635
MDST8-311Cas9 Rep A p6_batch3,73659821
MDST8_c903R3,40051672
NALM-6-311CAS9_RepA_p6_batch3,34824971
PF382-311CAS9_RepA_p6_batch3,48805527
SK-UT-1-311Cas9_RepA_p6_batch3,28554286
HEC-1-B-311CAS9_RepA_p6_batch3,52126094
RKO-311Cas9_RepA_p6_batch2,52011191
RKO_C902R1_P1D14,45338039
H650_c906R1,36175349
HEC265-311Cas9_RepA_p6_batch3,19700104
NAMALWA-311cas9-RepA-p6_batch4,42214801
OVK18-311cas9 Rep A p5_batch2,132412509
OVK18_c905R1,37226738
2313287-311Cas9_RepA_p5_batch3,24890809
231328_c908R1,46484919
LOVO-311Cas9_RepA_p6_batch2,33607285
Lovo_c903R4,56252481
22RV1_c908R1,23738818
SUPT1-311Cas9_RepA_p6_batch3,43785837
LS 180-311Cas9 Rep A p4_batch2,36261839
LS180_C902R1_P1D14,40427498
SW48-311Cas9_RepA_p6_batch3,39665853
SW48_C902R1_P1D14,37075044
Ishikawa (Heraklio) 02 ER-311cas9-RepA-p6_batch3,33357560
Reh-311cas9_RepA_p5_batch3,64959706
SNUC4-311Cas9-Rep-A-p6_batch3,28529456
CCK-81-311cas9 Rep A p2_batch2,40987416
OC314_c905R1,31997002
RL952-311cas9_RepA_p6_batch3,42595881
RL952_c908R1,31116599
COLO-792-311Cas9_RepA_p6_batch3,43807929
IGROV1_c905R1,32119651
KM12-311Cas9 Rep A p5_batch3,41088742
KM12_c908R1_100,28646624
639V-311Cas9_RepA_p6_batch3,44921654
HCT116_C902R1_P1D14,31868841
SNUC5_C902R1_P1D14,38021642
HCC2450-311Cas9_RepA_p6_batch3,37527715
SNGM-311Cas9_RepA_p6_batch3,44633865
SNGM_c907R1,29336838
EN-311Cas9_RepA_p6_batch3,52198248
HuCCT1-311cas9_RepA_p6_batch3,49009409
LNCAPCLONEFGC-311Cas9-RepA-p4_batch4,26347082
LNCaPC_c908R1,45953023
DU145_c908R1,44859847
H1155_c906R1,47919254
NCI-H1155-311Cas9_RepA_p5_batch3,38709538
HEC6-311Cas9_RepA_p6_batch3,44720723
HT115-Avana 4 Rep A p6_batch3,100160056
KCL22-311Cas9_RepA_p6_batch3,34696604
LS411N_c903R1,57564442
HEC-59-311Cas9_RepA_p6_batch3,42698568
JHUEM7-311Cas9_RepA_p5_batch3,38472925
MFE-319-311Cas9_RepA_p6_batch3,34247076
SNU81_c903R1,49823079
HCT15_C902R1_P1D14,31429046
HEC-251-311Cas9_RepA_p5_batch3,48064436
JURKAT-311Cas9-RepA-p6_batch4,34546446
143B-311Cas9_RepA_p6_batch3,58239762
BT16-311Cas9-RepA-P6_batch4,47858665
Becker_c907R1,27444139
CHLA06-311Cas9_RepA_p6_batch3,43601205
CHLA266-311Cas9_RepA_p6_batch3,58306059
CHLA57-311Cas9_RepA_p5_batch3,22289113
CMK115-311Cas9-RepA-P6_batch4,35008544
COGE352-311Cas9_RepA_p5_batch3,45596406
CO205_c903R1,63249442
CW9019-311Cas9_RepA_p4_batch3,38537521
Colo699-311cas9-RepA-p6_batch4,39499701
Cov504-311Cas9_RepA_p6_batch2,40310837
D425-311cas9_RepA_p6_batch2,34135820
D458-311Cas9_RepA_p6_batch2,39506766
DLD1-311Cas9_RepA_p7_batch2,35820977
DOV13_c905R1,45984838
EVSAT_c903R1,32368945
F5-311Cas9_RepA_p6_batch3,34388936
NCIH292-311Cas9_RepA_p6_batch3,39296967
HCC299_c903R1,65293309
JR-311Cas9_RepA_p6_batch3,53337586
KCIMOH1-RepA-p6_batch4,40305845
KD-311Cas9_RepA_p6_batch4,38001459
KP1N_c904R1,38250257
MOGGUV_c907R1,37462888
MONO-MAC1-311cas9_RepA_p6_batch3,33542002
My-La-311cas9 Rep A p6_batch2,33660847
H1993_c906R1,39008543
OC316-311cas9-RepA-p6_batch4,25873124
OVCAR-5-311Cas9_RepA_p6_batch3,34204096
OVR5_c905R1,32951698
PEDS005TPFAD-311Cas9_RepA_p6_batch2,47029957
PEDS015T-311CAS9_RepA_p6_batch3,56565273
RT11284-311Cas9_RepA_p6_batch3,36978736
MEL2_C908R1,20010174
SCMCRM2-311cas9_RepA_p6_batch3,49160529
SKMEL2-311Cas9_RepA_p4_batch3,32852111
SK-NEP-1-311ca9_RepA_p6_batch3,51339837
SKPNDW-311Cas9_RepA_p6_batch3,62897647
SKPNDW_c907R2,31008419
SKRC31-311cas9-RepAB-p6_batch4,21712952
SMS-CTR-311Cas9_RepA_p6_batch3,49216136
SMZ1-311Cas9 Rep A p6_batch3,52509709
TC32-311Cas9_RepA_p6_batch3,80941435
TTC549-311Cas9-RepA-P6_batch4,30798826
TTC642-311Cas9_RepA_p6_batch3,47358346
UPCISCC152-311Cas9_RepA_p5_batch3,60107393
UPCISCC154-311Cas9-RepA-P6_batch4,34256709
UW228-311Cas9_RepB_p6_batch2,45789820
LCD_c906R1,30572280
SW982-311Cas9_RepA_p6_batch3,88349982
SYO1-311Cas9_RepA_p6_batch3,28476181
WM2664_RepA_p5_batch3,47427242
BIN-67-311Cas9_RepA_p5_batch3,55212113
SCCOHT1-311cas9_RepA_p5_batch3,65321643
SCS214-311Cas9_RepA_p5_batch3,31715130
YAMATO-311Cas9_RepA_p6_batch3,49503647
CHLA15-311Cas9_RepA_p6_batch3,33355112
COGAR359-311Cas9_RepA_p6_batch3,20643486
TC106-311Cas9_RepA_p6_batch3,39633508
Y79-311Cas9_RepA_p6_batch3,45877390
COGN-305-311cas9_RepA_p5_batch3,53368428
COGN278-311Cas9_RepA_p6_batch3,22261588
NB1643-311Cas9_RepA_p4_batch3,36121898
8305C-311cas9_RepA_p5_batch3,40636807
8505C-311cas9-RepA-p6_batch4,31305602
CME-1-311CAS9_RepA_p6_batch3,45120013
PLCPRF5-311Cas9_RepA_p6_batch3,40071889
A431-311cas9_RepA_p6_batch3,39452188
ANGMCSS-311Cas9_RepA_p6_batch3,28181179
BICR10_c908R1,26732645
BICR78-311Cas9_RepA_p6_batch3,40365980
BICR78_c907R1,29338898
C-33 A-311Cas9_RepA_p6_batch3,34633099
C4I-311cas9-RepA-p6_batch4,36769145
C4II-311cas9_RepA_p6_batch3,34628675
CASKI-311Cas9_RepA_p6_batch3,29957907
COV413A-311Cas9_RepA_p4_batch3,51545507
Dotc2 4510-311Cas9_RepA_p5_batch4,33730964
GIMEN-311cas9_RepB_p6_batch3,44784600
GP5d-311Cas9_RepA_p6_batch3,40521648
GP5d_c903R1,62284307
H103-311cas9_RepA_p6_batch3,27431809
H157-311cas9-RepA-p6_batch3,43731027
JOPACA1-311cas9_RepA_p6_batch3,30139896
LAN2-311Cas9_RepA_p5_batch3,42680654
MB1-311cas9_RepA_p6_batch3,52287746
NGP-311cas9_RepA_p6_batch3,42291481
OACM51-311Cas9_RepA_p6_batch3,31487846
OACM51_c907R1,22947634
OCI5X-311cas9_RepA_p6_batch3,30076389
PACADD119-311cas9_RepA_p6_batch3,41674771
PACADD137-311cas9_RepA_p6_batch3,29046877
Pa-1-311cas9_RepA_p5_batch3,38108388
PACADD161--311Cas9_RepA_p6_batch3,47172941
PACADD165-311cas9_RepA_p6_batch3,49422657
PACADD188-311cas9_RepA_p6_batch3,54645160
RPMI2650-311cas9-RepA-p6_batch4,37849587
SCLC22H-311cas9-RepA-p6_batch4,43776873
SUM1315MO2-311cas9-RepA-p6_batch4,33929278
SUM149PT-311cas9_RepA_p6_batch3,48223222
SUM159PT-311Cas9_RepA_p5_batch3,29518304
SUM229PE-311Cas9_RepA_p3_batch3,34626572
SUM52PE-311cas9_RepA_p6_batch3,30314980
SW626_c905R1,32540503
SW954-311cas9_RepB_p6_batch4,32730899
SW756-311Cas9_RepA_p5_batch3,23691756
TO14-311Cas9_RepA_p4_batch3,55154795
UMUC13-311cas9_RepA_p6_batch3,94449957
UMUC14-311Cas9_RepA_p6_batch3,58356025
UM-UC-10-311cas9_RepA_p6_batch3,27346177
UMUC16_311Cas9_RepA_B_P6_batch3,53716813
UMUC5-311Cas9_RepA_p6_batch3,60364367
UmUC11-311Cas9_RepA_p6_batch3,40671376
UMUC6-311cas9_RepB_p6_batch3,29408093
UMUC7-311cas9_RepA_p3_batch3,46467971
UMUC9-311Cas9_RepA_p6_batch3,49099027
UWB1289-311cas9-RepA-p5_batch3,25125545
UWB12_c905R1,33843675
VP229-311cas9-RepA-p6_batch4,31241478
WERIRB1-311Cas9-RepA-P4_batch4,22530186
A388-311cas9-RepA-p6_batch3,43219303
PEDS092T-311CAS9_RepA_p4_batch3,51032916
TC138-311Cas9_RepA_p6_batch3,56584725
TC205-311Cas9_RepA_p6_batch3,61721346
ASH3-311cas9-RepA-p6_batch3,25960204
BOKU-311cas9-RepA-p6_batch3,34394978
BPH1-311cas9-RepA-p6_batch4,38776373
Blue1-311cas9_RepA_p6_batch3,56713098
C10-311cas9_RepA_p4_batch3,19746191
C75-311cas9_RepA_p5_batch3,36295874
C80-311cas9_RepA_p6_batch3,42588498
C84-311cas9_RepA_p6_batch3,36252866
C99-311cas9_RepA_p4_batch3,58872686
CI-311cas9_RepA_p6_batch3,37665496
CII-311cas9_RepA_p6_batch3,60821232
EGI1-311cas9_RepA_p6_batch3,25734161
EGI1_c903R1,57169243
EMTOKA-311Cas9 -RepA-p6_batch3,33889211
ESO26-311cas9_RepA_p6_batch3,44280478
ESO26_c907R1,55973999
ESO51_c907R1,23691552
FARAGE-311cas9-RepAB-p6_batch4,38145791
FLO1-311Cas9-Rep B-P6_batch4,30789001
FLO1_c907R1,30329443
H357-311cas9-RepA-p6_batch3,54420661
H376-311cas9-RepA-p6_batch3,40891054
H413-311cas9-RepA-p6_batch3,36412977
HCA1-311cas9-RepA-p6_batch3,36266464
HCS2-311cas9-RepA-p6_batch3,23005095
HEC1-311cas9-RepA-p4_batch4,31100480
HEC1_c907R1,36119277
HEC116-311Cas9-RepAB-p6_batch4,34833891
HG3-311cas9-RepA-p6_batch3,33870182
HKA1-311cas9_RepA_p5_batch3,59943152
HMY1-311Cas9-RepA-P6_batch4,43392964
HSC1-311Cas9_RepA_P6_batch3,34303712
HSC5-311cas9_RepA_p6_batch3,54066476
HT3-311cas9-RepA-p6_batch3,46862509
HUO9-311cas9-RepA-p5_batch3,56196919
JAR-311cas9_RepA_p6_batch3,34312957
JEG3-311cas9-RepA-p4_batch3,21807483
JMURTK2-311cas9_RepA_p5_batch3,40839108
KARPAS1718-311cas9-RepA-p6_batch4,38437720
KKU100-311cas9_RepA_p6_batch3,60061527
KKU213-311cas9_RepA_p6_batch3,55718498
KML1-311cas9-RepA-p4_batch3,44604231
KON-311cas9-RepA-p6_batch3,39671434
KON_c908R1,51047775
KOSC2CL343-311cas9-RepB-p5_batch4,31702406
KYAE1_c907R1,30276427
LS-311cas9_RepA_p6_batch3,23190350
LU135-311cas9-RepA-p5_batch3,37225618
MCC13-311Cas9-RepA-P6_batch4,43568446
MCC14/2-311cas9_RepA_p6_batch3,40384390
MCC26-311cas9_RepA_p5_batch3,48455212
MEL202-311cas9_RepA_p6_batch3,50806362
MERO14-311cas9_RepA_p6_batch3,21393096
MERO25-311cas9-RepA-p6_batch4,28221119
MERO82-311cas9-RepA-p6_batch4,28126201
MERO83-311cas9-RepB-p6_batch4,27068100
MM127-311cas9_RepA_p5_batch3,28875126
MM370-311cas9_RepA_p6_batch3,43101171
MM383-311cas9_RepA_p6_batch3,44846901
MM386-311cas9_RepA_p6_batch3,49754243
MM426-311cas9_RepA_p6_batch3,21528850
MOLM14-311cas9-RepA-p6_batch4,35838709
MUTZ8-311cas9-RepA-p6_batch4,27026753
NH12_c906R1,31206297
no10_c907R1,34975310
NOZ-311cas9_RepA_p5_batch3,45969080
NP2-311cas9-RepA-p6_batch3,41711632
NP3-311cas9-RepA-p6_batch3,33886810
no11_c907R1,45377264
NP5-311cas9_RepA_p6_batch3,66162659
NP8-311cas9_RepA_p6_batch3,19545446
OCILY18-311cas9-RepA-p5_batch3,16145681
OCIM2-311cas9-RepA-p5_batch3,55061479
OCUG1-311cas9-RepA-p6_batch3,21726463
ONDA7-311cas9-RepA-p6_batch3,35570653
ONDA8-311cas9-RepA-p6_batch3,36006590
ONDA9-311cas9_RepA_p6_batch3,41640940
OSC19_c908R5,19820008
OSC20_c908R1,26497650
P4E6-311cas9-RepA-p6_batch4,34936447
PEA1-311cas9_RepA_p6_batch3,36856507
PEO1_c905R1,32806959
UACC62SKINCJ1-311cas9_RepA_p6_batch3,53588109
PEO4_c905R1,32072644
PGA1-311cas9-RepA-p4_batch4,30198038
ROS50_c905R4,38772468
SAT-311cas9-RepA-p6_batch4,43688497
SEKI-311cas9_RepA_p6_batch3,38684974
SHI1-311cas9-RepA-p6_batch3,21095188
SHMAC4-311cas9-RepA-p6_batch4,33494766
SISO-311cas9_RepA_p6_batch3,30447307
SKGI-311cas9_RepA_p3_batch3,40630923
SKGII-311cas9-RepA-p6_batch3,42498357
SKGT2-311cas9_RepA_p6_batch3,26140765
SKGT4-311cas9_RepA_p6_batch3,78336382
SKGT4_c907R1,18271779
SKN-311cas9_RepA_p6_batch3,56730576
SKNO1-311cas9_RepA_p6_batch4,46156199
SNU638-311cas9-RepA-p6_batch3,36052685
TASK1-311cas9-RepA-p6_batch4,38503725
TFK1-311cas9_RepA_p6_batch3,75862640
TGW-311Cas9-RepA-P6_batch4,28136331
TGW_c906R1,35163241
U2904-311cas9_RepA_p4_batch3,50012110
UHO1-311cas9-RepA-p5_batch3,18515628
UMRC3-311cas9-RepA-p6_batch4,35317239
UMRC7-311cas9-RepA-p6_batch4,35312286
UPCISCC026-311cas9-RepA-p6_batch4,29520211
UPCISCC040-311cas9-RepA-p6_batch4,33871169
UPCISCC074-311cas9-RepA-p6_batch4,41362399
UPCISCC116-311cas9-RepA-p6_batch3,44186009
UPCISCC131-311cas9-RepA-p6_batch4,30307580
VAESBJ-311cas9-RepA-p6_batch4,27690199
CAL72-311cas9_RepA_p6_batch3,35018646
CAL72_c908R1,32995741
PFSK1-311Cas9-RepA-P6_batch4,33888997
WAOSEL-311cas9-RepA-p6_batch4,40219390
WSUNHL-311cas9-RepA-p6_batch4,37573419
HB11;19-311CAS9_RepA_p6_batch3,28742078
OCIC4P-311cas9-RepA-p6_batch4,37538104
SEMK2-311Cas9_RepA_p3_batch3,34865133
HSB-2-311cas9_RepB_p4_batch3,59772814
Rh28-311Cas9_RepA_p5_batch3,37203295
RhJT-311Cas9_RepA_p6_batch3,41890108
TTC442-311cas9_RepA_p6_batch3,40863375
LPS27-311cas9-RepA-p4_batch3,49657812
LPS6-311cas9_RepA_p6_batch3,36349628
Rh4-311Cas9_RepA_p6_batch3,40874846
SNU1544-311cas9-RepA-p4_batch3,20282202
93T449-311cas9-RepA-p4_batch4,58796044
94T778-311cas9-RepA-p6_batch4,29257895
95T1000-311cas9_RepA_p3_batch3,33683087
LPS141-311cas9-RepA-p5_batch3,30815146
LPS510-RepB-p6_batch4,23109872
MFM223-311cas9-RepA-p6_batch4,30684348
MFM223_c903R1,32967097
OS252-311cas9_RepA_p6_batch3,58060252
CO824_c903R1,42392832
COLO824-RepA-p6_batch4,38256594
ICC10-311cas9_RepA_p6_batch4,16574991
ICC106-311cas9-RepA-p5_batch4,39316702
ICC108-311cas9-RepA-p4_batch3,19326444
ICC12-311cas9-RepA-p6_batch3,29220494
ICC137-311cas9-RepA-p4_batch4,35358861
ICC15-311cas9-RepA-p5_batch3,27064902
ICC2-311cas9_RepA_p6_batch3,45903753
ICC3-311cas9_RepA_p6_batch3,39526143
ICC4-311Cas9-RepA-P5_batch4,26683430
G415-311cas9-RepA-p6_batch4,34158810
HKGZCC-311cas9-RepA-p6_batch3,16448670
ICC8-311cas9_RepA_p4_batch3,33553983
ICC9-311cas9-RepA-p6_batch3,30648848
KMCH1-311cas9-RepA-p6_batch3,63926017
RBE-311cas9_RepA_p6_batch3,56873411
SG231-311cas9-RepA-p6_batch3,31557939
SSP25-311cas9-RepA-p6_batch3,45587865
TGBC1TKB-311cas9-RepAB-p6_batch4,28391102
TGBC52TKB-311cas9-RepA-p6_batch4,36520329
TKKK-311CAS9-REPA-P5_batch4,30493656
YSCCC-311cas9-RepA-p6_batch3,29278711
CCLP1-311cas9-RepA-p6_batch3,46663384
JHC-7-311cas9_RepB_p4_batch3,84300400
Mug-Chor-1-311Cas9 Rep A p5_batch2,75605198
UM-Chor1-311Cas9 Rep A p5_batch2,24402664
CCSW1-311cas9-RepA-p6_batch3,46321286
GB2-311cas9-RepA-p6_batch4,33302484
MM253-311cas9-RepA-p6_batch4,30973952
MM485-311cas9-RepA-p6_batch4,38187677
ECC2-311cas9-RepA-p6_batch3,26019566
NALM16-311CAS9-RepA-p6_batch4,38345150
NZOV9-311Cas9-RepA-p6_batch4,33167313
ONE58-311cas9-RepA-p6_batch4,39841841
9505BIK-311cas9-RepA-p6_batch3,58934657
A375SKINCJ1-311cas9_RepA_p6_batch3,35415290
A375SKINCJ2-311cas9_RepA_p6_batch3,48476838
A375SKINCJ3-311cas9_RepA_p6_batch3,22364968
MEL285-311cas9-RepA-p6_batch3,26255376
MEL290-311cas9-RepA-p4_batch4,33682116
PEO1-311cas9_RepA_p6_batch4,24844829
SKMEL19-311cas9_RepA_p6_batch3,20943433
HOKUG-311cas9-RepA-p4_batch4,38185173
OMM1-311cas9-RepA-p6_batch4,31554148
OMM25-311Cas9-RepA-p6_batch4,30761527
T3M3-311cas9-RepA-p6_batch4,34058601
ECC4-311Cas9-RepA-p6_batch4,38332915
HHUA-311cas9-RepB-p6_batch4,34268499
TGBC18TKB-311Cas9-RepA-p6_batch4,31069478
TT1TKB-311Cas9-RepA-p6_batch4,39360911
HOUAI-311cas9-RepB-p6_batch4,34052588
PK8-311cas9-RepA-p6_batch4,30472028
SAS-311cas9-RepA-p6_batch4,39546292
SAS_c907R1,28887131
Ca922_c907R1,28660292
HOTHC-311cas9-RepA-p6_batch4,35842495
HSQ89-311cas9-RepA-p6_batch4,33635606
T3M5-311cas9-RepA-p6_batch4,35751458
HO1U1-311cas9-RepAB-p6_batch4,28195837
HO1u1_c908R1,24411016
HTMMT-311cas9-RepA-p6_batch4,29331205
HSOS1-311Cas9-RepA-p6_batch4,27917135
NB69_c906R1,43922682
P30OHK-311cas9-RepA-p6_batch4,25840209
SLVL-311cas9-RepB-p6_batch4,21315334
ES4_c907R1,40697210
ES5_c907R1,35472939
ES8_c903R1,59647740
MMAC-311cas9-RepA-p6_batch4,28336644
EW16_c907R1,37959360
EW1_c907R1,19084963
EW22_c907R1,28939388
EW7_c907R1,31616529
HSC39_c908R1,20764236
Hey_c905R1,32155777
ISTMEL1_c904R1,46848290
LB1047_C908r1,35568336
LC1sq_c906R1,35099095
LU99A_c906R4,30536670
H322M_c906R1,32650083
MCIXC_c906R1,38401364
MKN28_c907R1,32004863
OCUBM_c903R1,38292598
OV420_c905R1,40034089
OVMIU_c905R1,36406415
PL4_c904R2,38862523
RCCFG2_C908R1,20941285
SCH_c908R1,26799387
TMK1_c908R1,20932487
U-CH2-311Cas9_RepA_p3_batch3,49614853
BB30HN_c908R1,20169749
BE2M17_c906R1,37221761
CO320H_c903R1,35260789
D423MG_c907R2,32789538
D502MG_c907R1,33108156
D542MG_c907R1,34588391
DIFI_C902R1_P1D14,41482943
DOK_c908R1,28144652
H3118_c908R1,27116770
HCE4_c908R1,69533485
JHU011_c907R1,44370881
JHU022_c907R1,29680701
JHU029_c907R1,21721966
KINGS1_c907R1,37455006
KPNYS_c906R1,36976004
KYSE22_c908R1,27097032
LB771H_c908R1,41995700
LNZTA3_c907R1,35046441
NB10_c906R2,29297020
NB13_c906R1,34168389
NB17_c906R1,39137400
NB5_c906R2,37556704
NB6_c906R1,43796452
NB7_c906R1,31757977
PCI15A_c908R1,36439799
PCI30_c908R1,35139329
PCI38_c908R1,33658935
PCI4B_c908R1,37116007
PCI6A_c908R4,23798223
SKMG_c907R1,38539712
21NT-311Cas9-RepAB-p6_batch4,37114288
SCC90_c907R1,37895045
SKN3_c908R1,34418062
CCLFUPGI0005T-311cas9-RepA-p6_batch4,39733417
HT144SKINFV1-311Cas9-RepA-p6_batch4,27178373
HT144SKINFV2-311Cas9-RepA-p6_batch4,27978061
HT144SKINFV3-311Cas9-RepA-p6_batch4,27065503
A2780A_c905R1,63037388
